"year" "N" "mean" "sd" "se" "min" "max" "med"
1921 12 0.03 0.426997977427613 0.123263698605629 -0.72 0.96 0.035
1922 12 0.654166666666667 0.200111711225748 0.057767275172091 0.31 0.86 0.74
1923 12 -0.3425 0.51193261275289 0.147782215889915 -1.19 0.49 -0.33
1924 12 -2.60166666666667 0.663911731993635 0.191654808592338 -3.45 -1.32 -2.44
1925 12 -1.15833333333333 0.926114398326621 0.267346198587131 -2.44 0.09 -0.93
1926 12 -1.35166666666667 0.481849341473855 0.139097923504387 -2.14 -0.34 -1.405
1927 12 0.41 0.344145846461008 0.0993463485473773 -0.58 0.7 0.52
1928 12 -1.32 0.723953790589628 0.208987457938886 -2.18 -0.11 -1.59
1929 12 -2.065 0.373277863844568 0.107756037586595 -2.75 -1.52 -2
1930 12 -1.92083333333333 0.362502873551829 0.104645565813581 -2.45 -1.44 -1.75
1931 12 -2.095 0.605977797373048 0.174930722218133 -2.66 -0.51 -2.29
1932 12 -0.835833333333333 0.527264955533111 0.152208282005649 -1.83 -0.13 -0.645
1933 12 -1.55583333333333 0.295556742231992 0.0853198823442246 -1.99 -1.21 -1.46
1934 12 -2.93333333333333 0.737222469609391 0.212817795640811 -3.98 -1.8 -3.105
1935 12 -0.4425 0.621919682040286 0.179532747920143 -1.43 0.33 -0.27
1936 12 -0.925833333333333 0.317760868731456 0.0917296615500178 -1.44 -0.42 -0.97
1937 12 -0.0616666666666667 0.452986721325217 0.13076600274822 -0.79 0.46 -0.03
1938 12 0.84 0.78001165492458 0.225169969470876 -0.54 1.78 0.865
1939 12 -1.01916666666667 0.457134520351471 0.131963369190396 -1.55 -0.41 -1.085
1940 12 -1.24583333333333 0.443897169364366 0.128142075112515 -1.89 -0.47 -1.335
1941 12 2.13583333333333 0.879715432639579 0.253951970922365 0.11 2.88 2.545
1942 12 1.18 0.783987476708884 0.226317690359585 -0.14 2.2 1.385
1943 12 0.103333333333333 0.467825401256287 0.135049560674531 -0.8 0.6 0.265
1944 12 -0.23 0.408010695046989 0.117782542308813 -1.03 0.36 -0.26
1945 12 0.115833333333333 0.399100313963871 0.115210336850353 -0.54 0.96 0.06
1946 12 -0.916666666666667 0.666146766975203 0.192300007616466 -1.65 0.25 -1.265
1947 12 -1.81666666666667 0.456216322958017 0.131698308434256 -2.51 -0.84 -1.85
1948 12 -0.9975 0.810422168322838 0.233948728519215 -2.42 -0.19 -0.81
1949 12 -1.435 0.554067603358028 0.159945539974004 -2.34 -0.64 -1.325
1950 12 -1.88083333333333 0.749866149672221 0.216467711684723 -2.51 -0.44 -2.185
1951 12 -1.23083333333333 0.528315648303573 0.15251159088258 -1.78 -0.14 -1.42
1952 12 0.700833333333333 0.51827438035594 0.149612926506294 -0.29 1.33 0.88
1953 12 -0.54 0.533342802946234 0.153962805425679 -1.32 0.14 -0.51
1954 12 -1.2375 0.219632958281849 0.0634025737934697 -1.53 -0.86 -1.27
1955 12 -1.28666666666667 0.434957329847284 0.125561365736665 -1.96 -0.19 -1.405
1956 12 -0.593333333333333 0.557532442322798 0.160945752828509 -1.87 0.27 -0.525
1957 12 -0.86 0.806597793203031 0.232844726516764 -1.92 0.18 -0.7
1958 12 1.3625 1.03012907399554 0.297372649085693 -0.8 2.28 1.76
1959 12 -2.6125 0.742919609012002 0.214462418124665 -3.37 -1.12 -2.925
1960 12 -2.47666666666667 0.264552223176973 0.0763696486329696 -2.93 -1.92 -2.535
1961 12 -2.45333333333333 0.31807184246597 0.0918194319346841 -2.91 -1.95 -2.515
1962 12 -1.23 0.550503901398115 0.15891678783107 -2.07 -0.09 -1.49
1963 12 0.291666666666667 0.89590820687809 0.25862642220513 -1.06 1.65 0.51
1964 12 -1.03166666666667 0.590497992196315 0.170462087375238 -1.66 0.37 -1.175
1965 12 -0.418333333333333 0.690518031274457 0.199335385618299 -1.59 1 -0.545
1966 12 -1.19333333333333 1.02141019569945 0.294855725720053 -2.26 0.79 -1.635
1967 12 0.261666666666667 0.710375487565086 0.205067739485707 -1.07 0.96 0.455
1968 12 -1.51083333333333 0.552176821701384 0.159399718324783 -2.2 -0.26 -1.52
1969 12 0.570833333333333 0.580727730498292 0.167641655764535 -0.47 1.54 0.695
1970 12 -1.27916666666667 0.655805657650238 0.189314786490222 -1.95 -0.14 -1.515
1971 12 -0.846666666666667 0.441636076699384 0.12748935388312 -1.57 -0.29 -0.7
1972 12 -1.77666666666667 0.749440195119401 0.216344749196856 -2.56 -0.61 -2.105
1973 12 -0.0691666666666667 0.649621684777635 0.187529627288893 -0.93 0.96 0.05
1974 12 -0.0375 0.550357321944736 0.158874473987637 -0.92 0.82 0.02
1975 12 -0.6225 0.49367131133616 0.142510632245564 -1.56 0 -0.5
1976 12 -1.63666666666667 0.811769485118588 0.23433766537657 -2.49 -0.07 -1.94
1977 12 -2.44833333333333 0.698802005166158 0.201726762896466 -3.69 -1.5 -2.44
1978 12 1.25916666666667 0.853830495561921 0.246479633227493 -0.62 2.23 1.315
1979 12 0.724166666666667 0.264968551593077 0.0764898322945242 0.19 1.14 0.725
1980 12 0.950833333333333 1.02327867290599 0.295395108629138 -1.4 1.8 1.485
1981 12 -1.59916666666667 0.691171052809957 0.199523896697953 -2.19 -0.19 -1.855
1982 12 1.26166666666667 0.917356214478555 0.264817928685985 -0.16 2.86 1.21
1983 12 4.55833333333333 0.694639649332114 0.200525194265842 3.09 5.42 4.735
